EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,Unnamed: 39,symbol,YahooSymbol,sector_yahoo,industry_yahoo,market_cap,sector,cap_category
NSE,E,14086,INE204A01010,EQUITY,,IGPL,I G PETROCHEMICALS LTD,IG Petrochemicals,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.161555,,IGPL,IGPL.NS,Basic Materials,Chemicals,11939290112.0,Basic Materials,SMALL_CAP
NSE,E,14096,INE076B01028,EQUITY,,SIYSIL,SIYARAM SILK MILLS LTD,Siyaram Silk Mills,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.748008,,SIYSIL,SIYSIL.NS,Consumer Cyclical,Textile Manufacturing,35928571904.0,Consumer Cyclical,SMALL_CAP
NSE,E,14101,INE034D01049,EQUITY,,PTL,PTL ENTERPRISES LTD,PTL Enterprises,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,,PTL,PTL.NS,Real Estate,Real Estate Services,5346926592.0,Real Estate,SMALL_CAP
NSE,E,14106,INE718H01014,EQUITY,,AUTOIND,AUTOLINE INDUSTRIES LTD,Autoline Industries,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,,AUTOIND,AUTOIND.NS,Consumer Cyclical,Auto Parts,3153590272.0,Consumer Cyclical,SMALL_CAP
NSE,E,14111,INE870H01013,EQUITY,,NETWORK18,NETWORK18 MEDIA & INV LTD,Network 18 Media,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.825657,,NETWORK18,NETWORK18.NS,Communication Services,Entertainment,72260116480.0,Communication Services,MID_CAP
NSE,E,14116,INE524B01027,EQUITY,,GANDHITUBE,GANDHI SPL. TUBES LTD,Gandhi Special Tubes,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,,GANDHITUBE,GANDHITUBE.NS,Industrials,Metal Fabrication,9439066112.0,Industrials,SMALL_CAP
NSE,E,1412,INE415A01038,EQUITY,,AGI,AGI GREENPAC LIMITED,AGI Greenpac,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.772387,,AGI,AGI.NS,Consumer Cyclical,Packaging & Containers,51110928384.0,Consumer Cyclical,MID_CAP
NSE,E,14134,INE450D01021,EQUITY,,PITTIENG,PITTI ENGINEERING LIMITED,Pitti Engineering,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.100775,,PITTIENG,PITTIENG.NS,Industrials,Metal Fabrication,33608859648.0,Industrials,SMALL_CAP
NSE,E,14139,INE05ST01028,EQUITY,,SBGLP,SURATWWALA BUS GROUP LTD,Suratwwala Business Group,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,SBGLP,SBGLP.NS,Real Estate,Real Estate - Development,5601351168.0,Real Estate,SMALL_CAP
NSE,E,1415,INE291W01037,EQUITY,,GLOBAL,GLOBAL EDUCATION LIMITED,Global Education,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,GLOBAL,GLOBAL.NS,Consumer Defensive,Education & Training Services,3820154368.0,Consumer Defensive,SMALL_CAP
NSE,E,14150,INE0EEJ01023,EQUITY,,BTML,BODHI TREE MULTIMEDIA LTD,Bodhi Tree Multimedia,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,BTML,BTML.NS,Communication Services,Entertainment,1660579456.0,Communication Services,SMALL_CAP
NSE,E,14154,INE405E01023,EQUITY,,UNOMINDA,UNO MINDA LIMITED,UNO Minda,ES,EQ,1.0,,,,10.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.050223,,UNOMINDA,UNOMINDA.NS,Consumer Cyclical,Auto Parts,754992676864.0,Consumer Cyclical,LARGE_CAP
NSE,E,14180,INE0NNS01018,EQUITY,,NSLNISP,NMDC STEEL LIMITED,NMDC Steel,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.896871,,NSLNISP,NSLNISP.NS,Basic Materials,Steel,129071005696.0,Basic Materials,MID_CAP
NSE,E,14194,INE395U01014,EQUITY,,NINSYS,NINTEC SYSTEMS LIMITED,NINtec Systems,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,,NINSYS,NINSYS.NS,Technology,Information Technology Services,7709040128.0,Technology,SMALL_CAP
NSE,E,14198,INE325A01013,EQUITY,,TIMKEN,TIMKEN INDIA LTD.,Timken,ES,EQ,1.0,,,,10.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.311258,,TIMKEN,TIMKEN.NS,Industrials,Tools & Accessories,230786154496.0,Industrials,LARGE_CAP
